date,direction,prior_close,signal_px,entry,exit,gross_points,net_points,net_usd,scenario
2026-03-04 00:00:00-05:00,long,6826.0,6885.0,6884.75,6873.0,-11.75,-12.85,-642.5,STRESS
2026-03-05 00:00:00-05:00,short,6873.0,6816.25,6816.25,6835.0,-18.75,-19.85,-992.5000000000001,STRESS
2026-03-06 00:00:00-05:00,short,6835.0,6740.75,6740.5,6742.5,-2.0,-3.1,-155.0,STRESS
2026-03-09 00:00:00-04:00,long,6742.5,6792.5,6792.75,6801.75,9.0,7.9,395.0,STRESS
2026-03-10 00:00:00-04:00,short,6801.75,6791.5,6791.75,6788.0,3.75,2.65,132.5,STRESS
2026-03-11 00:00:00-04:00,short,6788.0,6766.5,6766.5,6780.0,-13.5,-14.6,-730.0,STRESS
2026-03-12 00:00:00-04:00,short,6780.0,6696.25,6696.25,6676.5,19.75,18.65,932.4999999999999,STRESS
2026-03-13 00:00:00-04:00,short,6676.5,6637.0,6637.0,6637.0,-0.0,-1.1,-55.00000000000001,STRESS
2026-03-16 00:00:00-04:00,long,6637.0,6756.5,6756.5,6753.75,-2.75,-3.85,-192.5,STRESS
2026-03-17 00:00:00-04:00,long,6753.75,6774.5,6774.5,6772.0,-2.5,-3.6,-180.0,STRESS
2026-03-18 00:00:00-04:00,short,6772.0,6691.25,6691.25,6677.5,13.75,12.65,632.5,STRESS
2026-03-19 00:00:00-04:00,short,6677.5,6664.5,6664.25,6659.0,5.25,4.15,207.50000000000003,STRESS
2026-03-20 00:00:00-04:00,short,6659.0,6547.75,6548.0,6562.5,-14.5,-15.6,-780.0,STRESS
2026-03-23 00:00:00-04:00,long,6562.5,6650.75,6650.5,6631.5,-19.0,-20.1,-1005.0000000000001,STRESS
2026-03-24 00:00:00-04:00,short,6631.5,6619.75,6619.5,6607.0,12.5,11.4,570.0,STRESS
2026-03-25 00:00:00-04:00,long,6607.0,6640.25,6640.25,6642.0,1.75,0.6499999999999999,32.49999999999999,STRESS
2026-03-26 00:00:00-04:00,short,6642.0,6534.0,6534.0,6523.0,11.0,9.9,495.0,STRESS
2026-03-27 00:00:00-04:00,short,6523.0,6416.0,6416.0,6407.25,8.75,7.65,382.5,STRESS
2026-03-30 00:00:00-04:00,short,6407.25,6362.5,6362.75,6387.75,-25.0,-26.1,-1305.0,STRESS
2026-03-31 00:00:00-04:00,long,6387.75,6561.5,6561.75,6569.25,7.5,6.4,320.0,STRESS
2026-04-01 00:00:00-04:00,long,6569.25,6628.25,6628.25,6619.5,-8.75,-9.85,-492.5,STRESS
2026-04-02 00:00:00-04:00,short,6619.5,6608.0,6608.0,6623.25,-15.25,-16.35,-817.5000000000001,STRESS
2026-04-06 00:00:00-04:00,long,6623.25,6642.5,6642.75,6653.0,10.25,9.15,457.5,STRESS
2026-04-07 00:00:00-04:00,short,6653.0,6629.75,6629.75,6656.0,-26.25,-27.35,-1367.5,STRESS
2026-04-08 00:00:00-04:00,long,6656.0,6799.5,6799.5,6823.5,24.0,22.9,1145.0,STRESS
2026-04-09 00:00:00-04:00,long,6823.5,6863.0,6863.25,6861.75,-1.5,-2.6,-130.0,STRESS
2026-04-10 00:00:00-04:00,short,6861.75,6858.75,6858.75,6855.5,3.25,2.15,107.5,STRESS
2026-04-13 00:00:00-04:00,long,6855.5,6900.0,6899.75,6921.25,21.5,20.4,1019.9999999999999,STRESS
2026-04-14 00:00:00-04:00,long,6921.25,7004.5,7004.75,7006.0,1.25,0.1499999999999999,7.499999999999996,STRESS
2026-04-15 00:00:00-04:00,long,7006.0,7061.75,7061.75,7060.0,-1.75,-2.85,-142.5,STRESS
