entry_time,exit_time,model,direction,tag,risk_ticks,raw_r,spread_cost_points,primary_r,stress_r,reason,year,period,session,hour,weekday,model_direction,md_session,md_weekday,risk_quartile
2021-01-28 11:10:00,2021-01-28 11:11:00,ou_rev,short,ou_rev_short,67.0,-1.0037313432835822,0.2,-1.0156716417910447,-1.0276119402985076,stop,2021,DEV,MORNING_1030_1200,11,Thursday,ou_rev__short,ou_rev__short__MORNING_1030_1200,ou_rev__short__Thursday,Q4_WIDE
2021-01-28 11:19:00,2021-01-28 11:20:00,ou_rev,short,ou_rev_short,41.19999999999709,1.396844660194344,0.2,1.3774271844661874,1.3580097087380307,trail,2021,DEV,MORNING_1030_1200,11,Thursday,ou_rev__short,ou_rev__short__MORNING_1030_1200,ou_rev__short__Thursday,Q1_TIGHT
2021-01-28 11:28:00,2021-01-28 11:29:00,vwap_scalp,short,vwap_scalp_short,45.80000000000291,0.4574235807859336,0.2,0.4399563318776378,0.4224890829693419,trail,2021,DEV,MORNING_1030_1200,11,Thursday,vwap_scalp__short,vwap_scalp__short__MORNING_1030_1200,vwap_scalp__short__Thursday,Q2
2021-01-28 11:35:00,2021-01-28 11:36:00,ou_lunch,short,ou_lunch_short,41.599999999998545,1.0132211538462244,0.2,0.9939903846154544,0.9747596153846846,trail,2021,DEV,MORNING_1030_1200,11,Thursday,ou_lunch__short,ou_lunch__short__MORNING_1030_1200,ou_lunch__short__Thursday,Q1_TIGHT
2021-01-28 11:39:00,2021-01-28 11:41:00,ou_lunch,short,ou_lunch_short,41.19999999999709,-0.006067961165048972,0.2,-0.025485436893205683,-0.044902912621362395,trail,2021,DEV,MORNING_1030_1200,11,Thursday,ou_lunch__short,ou_lunch__short__MORNING_1030_1200,ou_lunch__short__Thursday,Q1_TIGHT
2021-01-28 11:43:00,2021-01-28 11:43:00,ou_lunch,short,ou_lunch_short,44.400000000001455,-1.0056306306306304,0.2,-1.0236486486486478,-1.0416666666666652,stop,2021,DEV,MORNING_1030_1200,11,Thursday,ou_lunch__short,ou_lunch__short__MORNING_1030_1200,ou_lunch__short__Thursday,Q2
2021-01-28 13:34:00,2021-01-28 13:38:00,pm_mom,long,pm_mom_long,41.80000000000291,1.458133971291695,0.2,1.438995215310835,1.4198564593299752,trail,2021,DEV,PM_1330_1500,13,Thursday,pm_mom__long,pm_mom__long__PM_1330_1500,pm_mom__long__Thursday,Q1_TIGHT
2021-01-29 09:53:00,2021-01-29 09:53:00,open_drive,long,open_drive_long,52.400000000001455,-1.004770992366412,0.2,-1.0200381679389308,-1.0353053435114494,stop,2021,DEV,OPEN_0930_1030,9,Friday,open_drive__long,open_drive__long__OPEN_0930_1030,open_drive__long__Friday,Q3
2021-01-29 10:25:00,2021-01-29 10:26:00,sweep,long,sweep_pdl_long,76.19999999999709,0.715879265091929,0.2,0.7053805774278866,0.6948818897638442,trail,2021,DEV,OPEN_0930_1030,10,Friday,sweep__long,sweep__long__OPEN_0930_1030,sweep__long__Friday,Q4_WIDE
2021-01-29 10:29:00,2021-01-29 10:30:00,kalman_mom,long,kalman_mom_long,47.0,-1.0053191489361701,0.2,-1.0223404255319148,-1.0393617021276595,stop,2021,DEV,OPEN_0930_1030,10,Friday,kalman_mom__long,kalman_mom__long__OPEN_0930_1030,kalman_mom__long__Friday,Q2
