dt,date,contract,segment,open,high,low,close,volume
2021-06-17 06:15:00,2021-06-17,MNQ 09-21,9,13910.25,13913.0,13899.75,13900.75,2374.0
2021-06-17 06:30:00,2021-06-17,MNQ 09-21,9,13900.75,13903.0,13883.75,13885.25,3317.0
2021-06-17 06:45:00,2021-06-17,MNQ 09-21,9,13885.25,13907.25,13882.0,13906.0,3915.0
2021-06-17 07:00:00,2021-06-17,MNQ 09-21,9,13905.5,13932.75,13902.25,13931.25,6757.0
2021-06-17 07:15:00,2021-06-17,MNQ 09-21,9,13931.25,13933.0,13922.75,13925.0,4692.0
2021-06-17 07:30:00,2021-06-17,MNQ 09-21,9,13925.0,13932.75,13921.75,13925.75,3862.0
2021-06-17 07:45:00,2021-06-17,MNQ 09-21,9,13926.0,13926.0,13900.25,13902.5,6484.0
2021-06-17 08:00:00,2021-06-17,MNQ 09-21,9,13902.75,13924.0,13901.0,13911.0,6840.0
2021-06-17 08:15:00,2021-06-17,MNQ 09-21,9,13910.75,13915.25,13884.0,13893.5,8510.0
2021-06-18 03:00:00,2021-06-18,MNQ 09-21,9,14191.75,14196.5,14190.0,14193.25,1776.0
2021-06-18 03:15:00,2021-06-18,MNQ 09-21,9,14193.5,14197.5,14187.0,14187.5,1582.0
2021-06-18 03:30:00,2021-06-18,MNQ 09-21,9,14187.25,14192.5,14173.5,14174.25,2534.0
2021-06-18 03:45:00,2021-06-18,MNQ 09-21,9,14173.5,14185.0,14169.0,14176.0,2752.0
2021-06-18 04:00:00,2021-06-18,MNQ 09-21,9,14176.25,14185.5,14171.5,14183.5,2214.0
2021-06-18 04:15:00,2021-06-18,MNQ 09-21,9,14183.25,14183.5,14174.75,14182.5,1550.0
2021-06-18 04:30:00,2021-06-18,MNQ 09-21,9,14182.0,14187.75,14179.75,14183.75,1455.0
2021-06-18 04:45:00,2021-06-18,MNQ 09-21,9,14183.25,14189.5,14180.5,14181.25,1182.0
2021-06-18 05:00:00,2021-06-18,MNQ 09-21,9,14181.25,14186.75,14178.0,14185.5,1259.0
2021-06-18 05:15:00,2021-06-18,MNQ 09-21,9,14186.0,14188.75,14183.0,14183.5,1206.0
2021-06-18 05:30:00,2021-06-18,MNQ 09-21,9,14183.25,14187.0,14178.25,14184.75,1160.0
2021-06-18 05:45:00,2021-06-18,MNQ 09-21,9,14184.75,14188.75,14179.25,14186.5,1712.0
2021-06-18 06:00:00,2021-06-18,MNQ 09-21,9,14186.5,14187.25,14170.75,14172.5,2112.0
2021-06-18 06:15:00,2021-06-18,MNQ 09-21,9,14172.0,14181.25,14166.75,14180.0,2697.0
2021-06-18 06:30:00,2021-06-18,MNQ 09-21,9,14180.5,14183.75,14177.0,14179.75,1016.0
2021-06-18 06:45:00,2021-06-18,MNQ 09-21,9,14179.75,14183.5,14173.5,14179.0,1311.0
2021-06-18 07:00:00,2021-06-18,MNQ 09-21,9,14178.75,14180.75,14155.0,14163.5,4102.0
2021-06-18 07:15:00,2021-06-18,MNQ 09-21,9,14163.0,14164.0,14137.0,14157.0,6010.0
