scenario,target_r,left_out_year,N,mean_net_R,sum_net_R,pf_net
S18_C9_STRESS,2.0,2015,457,-0.07785613613432532,-35.580254213386674,0.8704027116137254
S18_C9_STRESS,2.0,2016,449,-0.08673867461039836,-38.94566490006886,0.8553583335018433
S18_C9_STRESS,2.0,2017,455,-0.08077227530363434,-36.75138526315363,0.8644188093852497
S18_C9_STRESS,2.0,2018,441,-0.07873136707349289,-34.720532879410364,0.8682117029503781
S18_C9_STRESS,2.0,2019,446,-0.06902273415402994,-30.784139432697355,0.8841073512221777
S18_C9_STRESS,2.0,2020,471,-0.08596848212467666,-40.491155080722706,0.856561416875479
S18_C9_STRESS,2.0,2021,469,-0.0711080884265887,-33.3496934720701,0.879124841572798
S18_C9_STRESS,2.0,2022,478,-0.10659559333683406,-50.95269361500668,0.8241087434605554
S18_C9_STRESS,2.0,2023,461,-0.07103441378768005,-32.7468647561205,0.8790054787745869
S18_C9_STRESS,2.0,2024,480,-0.061323244561387026,-29.435157389465772,0.8951617373559823
S18_C9_STRESS,2.0,2025,482,-0.08328415662218693,-40.1429634918941,0.8596811152057204
S11_C6_PRIMARY,2.5,2011,464,-0.0220294375875968,-10.221659040644916,0.9633985306026609
S11_C6_PRIMARY,2.5,2012,470,-0.05324064660631803,-25.023103904969474,0.9132322303458573
S11_C6_PRIMARY,2.5,2013,473,-0.028176927705956513,-13.32768680491743,0.9535964309505176
S11_C6_PRIMARY,2.5,2014,476,-0.04764964895740534,-22.68123290372494,0.9226333343212821
S11_C6_PRIMARY,2.5,2015,457,-0.05018537374261687,-22.93471580037591,0.9193657723158021
S11_C6_PRIMARY,2.5,2016,449,-0.04454393561835595,-20.000227092641822,0.9275398768009661
S11_C6_PRIMARY,2.5,2017,455,-0.03253510656774256,-14.803473488322865,0.9467179872794318
S11_C6_PRIMARY,2.5,2018,441,-0.0466799419704172,-20.585854408953985,0.9242841063779333
S11_C6_PRIMARY,2.5,2019,446,-0.0347934029645783,-15.51785772220192,0.9434623134582267
S11_C6_PRIMARY,2.5,2020,471,-0.042937894165850615,-20.22374815211564,0.9304782902624243
S11_C6_PRIMARY,2.5,2021,469,-0.041414994690594044,-19.423632509888606,0.9319838606306367
S11_C6_PRIMARY,2.5,2022,478,-0.07335120637521443,-35.0618766473525,0.8823945999071197
S11_C6_PRIMARY,2.5,2023,461,-0.030178252281392183,-13.912174301721796,0.9501818804696475
S11_C6_PRIMARY,2.5,2024,480,-0.024979426066724653,-11.990124512027833,0.9587041041674637
S11_C6_PRIMARY,2.5,2025,482,-0.05188892524746912,-25.010461969280115,0.915392658930073
S18_C9_STRESS,2.5,2011,464,-0.0313705874005596,-14.555952553859655,0.9472297915715523
S18_C9_STRESS,2.5,2012,470,-0.05220877502059546,-24.53812425967987,0.9135917441793406
S18_C9_STRESS,2.5,2013,473,-0.037751500897604796,-17.85645992456707,0.9371056640062732
S18_C9_STRESS,2.5,2014,476,-0.05498390092379885,-26.172336839728253,0.9097209809585394
S18_C9_STRESS,2.5,2015,457,-0.05754304669438429,-26.29717233933362,0.9063858171674962
S18_C9_STRESS,2.5,2016,449,-0.07023270005027576,-31.534482322573815,0.8855877617440892
S18_C9_STRESS,2.5,2017,455,-0.05124312999132884,-23.31562414605462,0.9156263618525684
S18_C9_STRESS,2.5,2018,441,-0.046924848036192596,-20.693857983960935,0.9230016572588972
S18_C9_STRESS,2.5,2019,446,-0.04264158286934502,-19.018145959727878,0.9300782177248617
S18_C9_STRESS,2.5,2020,471,-0.052391398114154095,-24.67634851176658,0.9142030522808903
S18_C9_STRESS,2.5,2021,469,-0.050248638801742546,-23.566611598017253,0.9165096085905113
S18_C9_STRESS,2.5,2022,478,-0.08550572292474502,-40.87173555802812,0.8619423458106641
S18_C9_STRESS,2.5,2023,461,-0.04569544002617585,-21.065597852067068,0.9239544485969876
S18_C9_STRESS,2.5,2024,480,-0.034889667015180016,-16.747040167286407,0.9416749117532254
S18_C9_STRESS,2.5,2025,482,-0.0619499618627413,-29.859881617841307,0.8978972069424841
S11_C6_PRIMARY,3.0,2011,464,-0.0063606546924070495,-2.951343777276871,0.9895638441577356
S11_C6_PRIMARY,3.0,2012,470,-0.030366187606085563,-14.272108174860215,0.9509356662481573
S11_C6_PRIMARY,3.0,2013,473,-0.009720911660657637,-4.597991215491062,0.9841853946723982
S11_C6_PRIMARY,3.0,2014,476,-0.03185446218695037,-15.162724000988376,0.9488947904570119
S11_C6_PRIMARY,3.0,2015,457,-0.038639782393590165,-17.658380553870707,0.9386776282611701
S11_C6_PRIMARY,3.0,2016,449,-0.02567736205221668,-11.52913556144529,0.9587001941027655
S11_C6_PRIMARY,3.0,2017,455,-0.0036323558205042772,-1.652721898329446,0.9941035037205953
S11_C6_PRIMARY,3.0,2018,441,-0.0292320843383327,-12.891349193204722,0.9531927773418125
S11_C6_PRIMARY,3.0,2019,446,-0.01999399453465213,-8.91732156245485,0.9679233127752641
S11_C6_PRIMARY,3.0,2020,471,-0.025711728777716904,-12.110224254304661,0.9588687957283946
S11_C6_PRIMARY,3.0,2021,469,-0.02367455409528765,-11.103365870689908,0.9615939602198578
S11_C6_PRIMARY,3.0,2022,478,-0.051979416546472944,-24.846161109214066,0.9173540053279768
S11_C6_PRIMARY,3.0,2023,461,-0.015636426567550647,-7.208392647640848,0.974509744363516
S11_C6_PRIMARY,3.0,2024,480,-0.008778727636505768,-4.2137892655227684,0.9856614062676142
S11_C6_PRIMARY,3.0,2025,482,-0.038867482827334134,-18.734126722775052,0.9373727726063497
S18_C9_STRESS,3.0,2011,464,-0.02822535614629215,-13.096565251879557,0.9533707254978846
S18_C9_STRESS,3.0,2012,470,-0.051911991713094754,-24.398636105154534,0.915578021884906
S18_C9_STRESS,3.0,2013,473,-0.0335963227099874,-15.89106064182404,0.9450024460444736
S18_C9_STRESS,3.0,2014,476,-0.04665072020645734,-22.20574281827369,0.9244402781015798
S18_C9_STRESS,3.0,2015,457,-0.05973195946147554,-27.297505473894322,0.9045339169428421
S18_C9_STRESS,3.0,2016,449,-0.06930773513295707,-31.119173074697727,0.888956190493157
S18_C9_STRESS,3.0,2017,455,-0.04375635016123408,-19.909139323361508,0.9292413741038436
S18_C9_STRESS,3.0,2018,441,-0.040197877466001064,-17.72726396250647,0.9349907984159291
S18_C9_STRESS,3.0,2019,446,-0.035990026767429226,-16.051551938273434,0.9418284552695425
S18_C9_STRESS,3.0,2020,471,-0.04953971979021999,-23.333208021193617,0.9202672025805974
S18_C9_STRESS,3.0,2021,469,-0.04696033181349174,-22.024395620527628,0.9233391507542185
S18_C9_STRESS,3.0,2022,478,-0.07244355599446842,-34.6280197653559,0.8844544619025921
S18_C9_STRESS,3.0,2023,461,-0.0420413440237945,-19.381059594969265,0.9312830881271481
S18_C9_STRESS,3.0,2024,480,-0.03287592947048353,-15.780446145832096,0.9459873192779481
S18_C9_STRESS,3.0,2025,482,-0.06305661327051218,-30.393287596386873,0.8978302669374892
