scenario,target_r,year,N,mean_net_R,sum_net_R,pf_net,abs_annual_contribution_share
S11_C6_PRIMARY,2.5,2013,25,-0.2975148971151305,-7.437872427878263,0.5859796136099797,0.0997933457724392
S11_C6_PRIMARY,2.5,2014,22,0.08707607595132925,1.9156736709292437,1.159478878198056,0.025702442046956937
S11_C6_PRIMARY,2.5,2015,41,0.05290625774585904,2.1691565675802207,1.1045452728953333,0.029103402012077832
S11_C6_PRIMARY,2.5,2016,49,-0.015619023268446464,-0.7653321401538767,0.9737545013642128,0.010268400760259264
S11_C6_PRIMARY,2.5,2017,43,-0.13865315684820526,-5.962085744472826,0.7819683940955509,0.07999283262684716
S11_C6_PRIMARY,2.5,2018,57,-0.003152716207749346,-0.1797048238417127,0.9946025930129414,0.0024110854006307554
S11_C6_PRIMARY,2.5,2019,52,-0.100917336742188,-5.247701510593776,0.8291110484428439,0.07040799589333956
S11_C6_PRIMARY,2.5,2020,27,-0.020067077062224364,-0.5418110806800578,0.9620559590846872,0.007269436393528969
S11_C6_PRIMARY,2.5,2021,29,-0.046273335272658436,-1.3419267229070946,0.9315471077280426,0.018004524648528395
S11_C6_PRIMARY,2.5,2022,20,0.7148158707278398,14.296317414556796,3.0289952223355794,0.1918125594190093
S11_C6_PRIMARY,2.5,2023,37,-0.18522661975875426,-6.853384931073908,0.735576412428641,0.09195132328094788
S11_C6_PRIMARY,2.5,2024,18,-0.4875241511537701,-8.775434720767862,0.4083002031550858,0.11773931320879989
S11_C6_PRIMARY,2.5,2025,16,0.26530642103027635,4.244902736484422,1.4435060020711359,0.056953524097105766
S18_C9_STRESS,2.5,2011,34,-0.3298025963875153,-11.21328827717552,0.5734804912504716,0.14459794018224784
S18_C9_STRESS,2.5,2012,28,-0.04396844897697506,-1.2311165713553016,0.9321617950541351,0.015875532309693553
S18_C9_STRESS,2.5,2013,25,-0.3165112362587241,-7.912780906468103,0.5655830997159899,0.10203713593252141
S18_C9_STRESS,2.5,2014,22,0.0183225458496854,0.4030960086930788,1.0329817433342836,0.005198016060226197
S18_C9_STRESS,2.5,2015,41,0.012876378251181573,0.5279315082984445,1.0248829021791284,0.00680779863767944
S18_C9_STRESS,2.5,2016,49,0.11765798962323752,5.765241491538639,1.217513731383484,0.07434411955916473
S18_C9_STRESS,2.5,2017,43,-0.057060853139082594,-2.4536166849805516,0.904857956592471,0.031639953408417076
S18_C9_STRESS,2.5,2018,57,-0.08904180433463592,-5.0753828470742475,0.8479039091305182,0.0654482331304253
S18_C9_STRESS,2.5,2019,52,-0.12982874752514043,-6.751094871307302,0.7759719743144214,0.08705692641051618
S18_C9_STRESS,2.5,2020,27,-0.04047749330624444,-1.0928923192686,0.9246977408354569,0.014093098679082995
S18_C9_STRESS,2.5,2021,29,-0.07595273217303176,-2.2026292330179214,0.8890889288348446,0.028403412291458603
S18_C9_STRESS,2.5,2022,20,0.7551247363496472,15.102494726992942,3.4845941480783846,0.19475015491945474
S18_C9_STRESS,2.5,2023,37,-0.12712548591805706,-4.703642978968111,0.8127074318619737,0.060654561739564794
S18_C9_STRESS,2.5,2024,18,-0.5012333702082646,-9.022200663748764,0.39828192503173643,0.11634335973903896
S18_C9_STRESS,2.5,2025,16,0.2556650491753836,4.090640786806137,1.4226936862007038,0.05274975700050829
S11_C6_PRIMARY,3.0,2011,34,-0.26582000614746365,-9.037880209013764,0.6511607496904411,0.11972250537764181
S11_C6_PRIMARY,3.0,2012,28,0.08153157816319931,2.2828841885695805,1.1280883334283514,0.03024078746584534
S11_C6_PRIMARY,3.0,2013,25,-0.29564931083198287,-7.391232770799571,0.5885757550512395,0.09790978467129033
S11_C6_PRIMARY,3.0,2014,22,0.14425000066807933,3.1735000146977455,1.2641922943274628,0.042038549282460244
S11_C6_PRIMARY,3.0,2015,41,0.138272111404392,5.669156567580072,1.2732322457964342,0.0750978782582097
S11_C6_PRIMARY,3.0,2016,49,-0.00938955969072126,-0.46008842484534174,0.9844308022650284,0.00609467459668266
S11_C6_PRIMARY,3.0,2017,43,-0.2403837694874693,-10.33650208796118,0.6362887488771775,0.13692501982685373
S11_C6_PRIMARY,3.0,2018,57,0.01582675801603663,0.9021252069140879,1.0270951930555212,0.011950223662885208
S11_C6_PRIMARY,3.0,2019,52,-0.05907504661222646,-3.071902423835776,0.8999649306586068,0.04069271178107396
S11_C6_PRIMARY,3.0,2020,27,0.00448149140792704,0.12100026801403008,1.0084738745367217,0.0016028598413550636
S11_C6_PRIMARY,3.0,2021,29,-0.030546831572438714,-0.8858581156007227,0.9548115786649747,0.01173473763273174
S11_C6_PRIMARY,3.0,2022,20,0.642846856146172,12.85693712292344,2.5922386367810555,0.17031258306610952
S11_C6_PRIMARY,3.0,2023,37,-0.12921165780134553,-4.780831338649785,0.8155415773587275,0.06333045940133744
S11_C6_PRIMARY,3.0,2024,18,-0.43196859559821454,-7.775434720767862,0.47572703905241215,0.10299921039473645
S11_C6_PRIMARY,3.0,2025,16,0.42155642103027635,6.744902736484422,1.7047051564470748,0.08934801474078681
S18_C9_STRESS,3.0,2011,34,-0.3148847516970942,-10.706081557701202,0.5927730979753866,0.1314445357243621
S18_C9_STRESS,3.0,2012,28,0.021285331984777642,0.595989295573774,1.0328407925938046,0.0073172930573307945
S18_C9_STRESS,3.0,2013,25,-0.3164634467102687,-7.911586167756718,0.565648691660691,0.09713495689896091
S18_C9_STRESS,3.0,2014,22,-0.07258654505941206,-1.5969039913070653,0.8796842599387154,0.01960608114205403
S18_C9_STRESS,3.0,2015,41,0.08524045522716005,3.4948586643135617,1.1647225537916444,0.04290832944594136
S18_C9_STRESS,3.0,2016,49,0.1493168625534074,7.316526265116963,1.2718519972488311,0.08982907451714747
S18_C9_STRESS,3.0,2017,43,-0.09054668572602914,-3.893507486219253,0.8490243971159059,0.04780276342069138
S18_C9_STRESS,3.0,2018,57,-0.10658566398375954,-6.075382847074294,0.8237354261935916,0.07459086439585304
S18_C9_STRESS,3.0,2019,52,-0.14905951675591017,-7.7510948713073295,0.7517359292349722,0.09516451572158954
S18_C9_STRESS,3.0,2020,27,-0.01738662179211658,-0.4694387883871476,0.967654817696335,0.005763561883775243
S18_C9_STRESS,3.0,2021,29,-0.06131900651907356,-1.7782511890531332,0.9104580375025878,0.021832581854212284
S18_C9_STRESS,3.0,2022,20,0.5412686477887567,10.825372955775135,2.450265677838887,0.1329091427658112
S18_C9_STRESS,3.0,2023,37,-0.11950235715166203,-4.421587214611495,0.8239385029064161,0.05428629283804714
S18_C9_STRESS,3.0,2024,18,-0.4456778146527037,-8.022200663748666,0.46497497447653846,0.09849303277309689
S18_C9_STRESS,3.0,2025,16,0.41191504917538196,6.590640786806111,1.6810234371067514,0.08091697356112665
