scenario,target_r,transition,from_session,to_session,trades,mean_net_R,sum_net_R,pf_net,tp_pct,positive_years,active_years
S10_C6,0.5,doz_origin_to_entry,NY_AM,NY_PM,6,-0.03886068752863784,-0.23316412517182705,0.8863920349097398,66.66666666666666,4,6
S10_C6,0.5,doz_origin_to_entry,NY_AM,TRANSITION,4,-0.2982371296353923,-1.1929485185415691,0.2975282247615421,25.0,2,4
S10_C6,0.5,doz_origin_to_entry,NY_PM,ASIA_CME,11,-0.1311793202659939,-1.442972522925933,0.6631449890062526,54.54545454545454,3,7
S10_C6,0.5,doz_origin_to_entry,NY_PM,LONDON,5,0.4626233515723239,2.3131167578616196,inf,100.0,5,5
S10_C6,0.5,doz_origin_to_entry,NY_PM,NY_AM,10,0.15649985428026264,1.5649985428026263,1.7571941379973814,80.0,4,6
S10_C6,0.5,doz_origin_to_entry,NY_PM,TRANSITION,1,0.4591558883594296,0.4591558883594296,inf,100.0,1,1
S10_C6,0.5,doz_origin_to_entry,TRANSITION,ASIA_CME,13,0.0534501192413263,0.6948515501372419,1.1942922068737505,69.23076923076923,7,11
S10_C6,0.5,doz_origin_to_entry,TRANSITION,LONDON,8,0.4639155877293083,3.7113247018344664,inf,100.0,6,6
S10_C6,0.5,doz_origin_to_entry,TRANSITION,NY_AM,6,0.22031258383866137,1.3218755030319682,2.279751764640581,83.33333333333334,4,5
S10_C6,0.5,doz_origin_to_entry,TRANSITION,NY_PM,2,-0.028648950233365666,-0.05729790046673133,0.8951889174539289,50.0,1,2
S10_C6,0.5,objective_activation_to_contact,ASIA_CME,ASIA_CME,24,0.14952263761082374,3.5885433026597697,1.6993027678384425,79.16666666666666,9,13
S10_C6,0.5,objective_activation_to_contact,ASIA_CME,LONDON,4,0.47198338780564,1.88793355122256,inf,100.0,3,3
S10_C6,0.5,objective_activation_to_contact,ASIA_CME,NY_AM,10,0.16531692629265998,1.6531692629265997,1.789424187027932,80.0,4,6
S10_C6,0.5,objective_activation_to_contact,ASIA_CME,NY_PM,3,-0.85736120283598,-2.57208360850794,0.0,0.0,0,3
S10_C6,0.5,objective_activation_to_contact,LONDON,ASIA_CME,6,0.34466107026325266,2.067966421579516,8.264684223148068,83.33333333333334,4,5
S10_C6,0.5,objective_activation_to_contact,LONDON,LONDON,22,0.17392934031529528,3.826445486936496,1.8991645183570773,81.81818181818183,8,10
S10_C6,0.5,objective_activation_to_contact,LONDON,NY_AM,19,0.0563975084092975,1.0715526597766525,1.2014411179372728,73.68421052631578,6,10
S10_C6,0.5,objective_activation_to_contact,LONDON,NY_PM,3,-0.04230779987759462,-0.12692339963278387,0.8790541545100476,66.66666666666666,2,3
S10_C6,0.5,objective_activation_to_contact,NY_AM,ASIA_CME,4,0.10138256739637103,0.4055302695854841,1.39954232737071,75.0,2,3
S10_C6,0.5,objective_activation_to_contact,NY_AM,LONDON,7,0.24226205272013687,1.695834369040958,2.6350517751685234,85.71428571428571,5,6
S10_C6,0.5,objective_activation_to_contact,NY_AM,NY_AM,42,0.24641287586962252,10.349340786524145,2.6707647954722598,85.71428571428571,10,14
S10_C6,0.5,objective_activation_to_contact,NY_AM,NY_PM,11,0.38315348921529213,4.214688381368213,11.797214276766903,90.9090909090909,6,7
S10_C6,0.5,objective_activation_to_contact,NY_AM,TRANSITION,1,0.4790209790209799,0.4790209790209799,inf,100.0,1,1
S10_C6,0.5,objective_activation_to_contact,NY_PM,ASIA_CME,22,0.1361385965972311,2.9950491251390843,1.6282551590434478,77.27272727272727,6,10
S10_C6,0.5,objective_activation_to_contact,NY_PM,LONDON,20,0.15923388650156187,3.1846777300312374,1.771629116754301,80.0,7,10
