scenario,target_r,left_out_year,trades,mean_net_R,sum_net_R,pf_net
S12_C6,1.0,2014,281,0.22467437780506003,63.13350016322187,1.6302879401024042
S12_C6,1.0,2015,277,0.2597265944742083,71.9442666693557,1.777212450735755
S12_C6,1.0,2016,282,0.24451020115225078,68.95187672493472,1.7148105970124317
S12_C6,1.0,2017,277,0.2579244432624999,71.44507078371248,1.7536683504843502
S12_C6,1.0,2018,268,0.23494929676113877,62.96641153198519,1.6706744466001813
S12_C6,1.0,2019,283,0.24829439678413384,70.26731428990988,1.729752124139827
S12_C6,1.0,2020,289,0.23799147405813675,68.77953600280152,1.6874346952275852
S12_C6,1.0,2021,286,0.24317303782496247,69.54748881793927,1.7123458300105585
S12_C6,1.0,2022,287,0.2597997180411461,74.56251907780893,1.7801187001213772
S12_C6,1.0,2023,287,0.23734063952109105,68.11676354255313,1.68683622443514
S12_C6,1.0,2024,287,0.24559493293122975,70.48574575126294,1.722043670867176
S12_C6,1.0,2025,287,0.22393630365147246,64.2697191479726,1.637790599847554
S12_C6,1.5,2011,288,0.25852798518626163,74.45605973364336,1.5894616592393407
S12_C6,1.5,2012,290,0.2280873093151347,66.14531970138907,1.5071260673530202
S12_C6,1.5,2013,287,0.25983320727687603,74.57213048846343,1.592188622284356
S12_C6,1.5,2014,281,0.24192716326568925,67.98153287765868,1.53627734393714
S12_C6,1.5,2015,277,0.29178072603248495,80.82326111099833,1.6793643989490536
S12_C6,1.5,2016,282,0.27637917580335875,77.93892757654717,1.6386941575624987
S12_C6,1.5,2017,277,0.2748388701629819,76.130367035146,1.6226272966065798
S12_C6,1.5,2018,268,0.26736292867628103,71.65326488524332,1.6104855925783814
S12_C6,1.5,2019,283,0.29984518869811305,84.856188401566,1.708601328309157
S12_C6,1.5,2020,289,0.2668065563323786,77.10709478005741,1.6087506498924047
S12_C6,1.5,2021,286,0.28347968532381523,81.07519000261115,1.6636217215537736
S12_C6,1.5,2022,287,0.2848410189235788,81.74937243106712,1.6690881326371718
S12_C6,1.5,2023,287,0.2721064860420915,78.09456149408025,1.6278300508424355
S12_C6,1.5,2024,287,0.26862239550460054,77.09462750982036,1.620491104435525
S12_C6,1.5,2025,287,0.257688405927633,73.95657250123067,1.5899242183089424
S12_C6,2.0,2011,288,0.24757915673452174,71.30279713954226,1.503377921261875
S12_C6,2.0,2012,290,0.23600376840613652,68.44109283777959,1.4788300471664584
S12_C6,2.0,2013,287,0.24781106989126417,71.12177705879282,1.502583535828951
S12_C6,2.0,2014,281,0.23113374975864956,64.94858368218053,1.4596536632531638
S12_C6,2.0,2015,277,0.28508545232822813,78.96867029491919,1.5916879663494692
S12_C6,2.0,2016,282,0.27691981292468315,78.09138724476065,1.5726447006866988
S12_C6,2.0,2017,277,0.25772757640894334,71.3905386652773,1.5178525671257723
S12_C6,2.0,2018,268,0.2540590427149629,68.08782344761005,1.516338091203621
S12_C6,2.0,2019,283,0.3073647493094429,86.98422405457234,1.652830462598887
S12_C6,2.0,2020,289,0.2809088667139768,81.1826624803393,1.5748063582272125
S12_C6,2.0,2021,286,0.29813069820220023,85.26537968582926,1.624911838739083
S12_C6,2.0,2022,287,0.2899385531569884,83.21236475605568,1.6095894838758484
S12_C6,2.0,2023,287,0.27049410046529326,77.63180683353917,1.5587950133858002
S12_C6,2.0,2024,287,0.2620998716474806,75.22266316282693,1.5419786145797287
S12_C6,2.0,2025,287,0.24242229382433714,69.57519832758476,1.4936082464683413
S12_C6,2.5,2011,288,0.250995298390154,72.28664593636435,1.481289862776174
S12_C6,2.5,2012,290,0.22036425336225415,63.905633475053705,1.4189820168023104
S12_C6,2.5,2013,287,0.23375023587479846,67.08631769606716,1.4439735551809787
S12_C6,2.5,2014,281,0.21582728451579114,60.64746694893731,1.4019292056418091
S12_C6,2.5,2015,277,0.29242149916361604,81.00075526832164,1.5703553924073983
S12_C6,2.5,2016,282,0.26438272298593934,74.5559278820349,1.5107911670557441
S12_C6,2.5,2017,277,0.2651857218159453,73.45644494301685,1.50173560881027
S12_C6,2.5,2018,268,0.2738006939666495,73.37858598306207,1.5264865546897093
S12_C6,2.5,2019,283,0.29840552894645545,84.44876469184689,1.5912386446348203
S12_C6,2.5,2020,289,0.2755958585384554,79.64720311761361,1.5280707590754565
S12_C6,2.5,2021,286,0.2927619591716915,83.72992032310377,1.5733519597912344
S12_C6,2.5,2022,287,0.2932993219279792,84.17690539333003,1.5802515580953962
S12_C6,2.5,2023,287,0.26182238042913225,75.14302318316095,1.5059484642718952
S12_C6,2.5,2024,287,0.2602341595822357,74.68720380010166,1.506816900079
S12_C6,2.5,2025,287,0.2640409057541374,75.77973995143743,1.5112842196069531
S12_C6,3.0,2011,288,0.3131718461540691,90.19349169237191,1.5962190281868807
S12_C6,3.0,2012,290,0.263820383165222,76.50791111791438,1.491539383779761
S12_C6,3.0,2013,287,0.26652670192360545,76.49316345207477,1.4959746905871685
S12_C6,3.0,2014,281,0.2471638458693559,69.45304068928901,1.4509511183869597
S12_C6,3.0,2015,277,0.3336014477412604,92.40760102432913,1.6366716708277231
S12_C6,3.0,2016,282,0.2995133816951866,84.46277363804262,1.5665398806129396
S12_C6,3.0,2017,277,0.32487424863405195,89.9901668716324,1.606214247424159
S12_C6,3.0,2018,268,0.32586435424354737,87.33164693727069,1.612863381054002
S12_C6,3.0,2019,283,0.3389146468306259,95.91284505306713,1.6571295623671531
S12_C6,3.0,2020,289,0.3167960168637414,91.55404887362127,1.5946983105367447
S12_C6,3.0,2021,286,0.33834339628978094,96.76621133887735,1.648743366430101
S12_C6,3.0,2022,287,0.33304442909176873,95.58375114933763,1.644993641299296
S12_C6,3.0,2023,287,0.3020525856312721,86.68909207617509,1.5716664942835374
S12_C6,3.0,2024,287,0.29475278590978704,84.59404955610889,1.5621281428385574
S12_C6,3.0,2025,287,0.30204385263918093,86.68658570744493,1.572800589862533
S18_C9_STRESS,0.5,2011,288,0.08740415294649077,25.17239604858934,1.355310364182333
S18_C9_STRESS,0.5,2012,290,0.06838424113098986,19.83142992798706,1.2643751037898756
S18_C9_STRESS,0.5,2013,287,0.0773951339900702,22.212403455150145,1.3063912465756298
S18_C9_STRESS,0.5,2014,281,0.07318719387143574,20.565601477873443,1.2843741828118582
S18_C9_STRESS,0.5,2015,277,0.10469882011400335,29.001573171578926,1.4478382241873877
S18_C9_STRESS,0.5,2016,282,0.09039372880912201,25.491031524172406,1.3714597438490932
S18_C9_STRESS,0.5,2017,277,0.08500970709403419,23.54768886504747,1.340152788037578
S18_C9_STRESS,0.5,2018,268,0.08445361528247174,22.633568895702425,1.34066800961691
S18_C9_STRESS,0.5,2019,283,0.09770560065535157,27.650684985464494,1.409392427925429
S18_C9_STRESS,0.5,2020,289,0.08180805284145796,23.64252727118135,1.327116552013217
S18_C9_STRESS,0.5,2021,286,0.08905074562443586,25.468513248588657,1.3649241321540264
S18_C9_STRESS,0.5,2022,287,0.09574742845019768,27.479511965206733,1.3995854076156111
S18_C9_STRESS,0.5,2023,287,0.09408899164853748,27.003540603130258,1.3897490541009996
S18_C9_STRESS,0.5,2024,287,0.07975991950730396,22.89109689859624,1.3184300342134665
S18_C9_STRESS,0.5,2025,287,0.08393929201203068,24.090576807452805,1.3397717381227496
S18_C9_STRESS,1.0,2011,288,0.14574988022132518,41.975965503741655,1.3752299838575706
S18_C9_STRESS,1.0,2012,290,0.1349482737349636,39.134999383139444,1.343426112527792
S18_C9_STRESS,1.0,2013,287,0.16081228462745664,46.15312568808005,1.421946166399219
S18_C9_STRESS,1.0,2014,281,0.1468127591330493,41.25438531638686,1.3743774591022007
S18_C9_STRESS,1.0,2015,277,0.1830079001233507,50.69318833416814,1.49480482177414
S18_C9_STRESS,1.0,2016,282,0.15921785487883255,44.89943507583078,1.4175693845060353
S18_C9_STRESS,1.0,2017,277,0.17132555360887022,47.45717834965705,1.448670879674726
S18_C9_STRESS,1.0,2018,268,0.15431171326889787,41.35553915606463,1.3982945591865885
S18_C9_STRESS,1.0,2019,283,0.18413822327107726,52.11111718571487,1.5004756517896216
S18_C9_STRESS,1.0,2020,289,0.15379272223644877,44.44609672633369,1.399735165094184
