date,open,high,low,close,bars,last_min,sma200,atr14,prior_close,prior_sma200,prior_atr14
2004-06-01,30.8872,31.1172,30.751,31.1001,78,955,30.165384500000002,0.5105810744060497,31.1172,30.1412475,0.5216873108988228
2004-06-02,31.1342,31.2194,30.8021,30.9894,78,955,30.189150999999995,0.5039181405199034,31.1001,30.165384500000002,0.5105810744060497
2004-06-03,30.9128,30.9639,30.6062,30.6318,78,955,30.209767499999998,0.49529541619705303,30.9894,30.189150999999995,0.5039181405199034
2004-06-04,30.9383,31.1853,30.8106,30.8447,78,955,30.231422500000004,0.49945288646869235,30.6318,30.209767499999998,0.49529541619705303
2004-06-07,31.032,31.5855,30.9894,31.5651,78,955,30.2533,0.5166919660066429,30.8447,30.231422500000004,0.49945288646869235
2004-06-08,31.4237,31.6707,31.3812,31.6452,78,955,30.2737905,0.50046396843474,31.5651,30.2533,0.5166919660066429
2004-06-09,31.4919,31.5515,31.0916,31.1087,78,955,30.2919815,0.50425939926083,31.6452,30.2737905,0.50046396843474
2004-06-10,31.2449,31.3556,31.1257,31.3386,78,955,30.309577,0.4858765850279136,31.1087,30.2919815,0.50425939926083
2004-06-14,31.1768,31.1768,30.7425,30.8617,78,955,30.325682,0.4937496860973483,31.3386,30.309577,0.4858765850279136
2004-06-15,31.1342,31.5004,31.1342,31.3726,78,955,30.3444265,0.5041032799475377,30.8617,30.325682,0.4937496860973483
2004-06-16,31.313,31.4237,31.2108,31.3386,78,955,30.362745500000003,0.48330304566557075,31.3726,30.3444265,0.5041032799475377
2004-06-17,31.2108,31.216,30.8702,30.9979,78,955,30.378084000000005,0.4822385424037442,31.3386,30.362745500000003,0.48330304566557075
2004-06-18,30.9128,31.3726,30.8787,31.0107,78,955,30.392295,0.48307150366061963,30.9979,30.378084000000005,0.4822385424037442
2004-06-21,31.1001,31.1938,30.7084,30.785,78,955,30.404441000000002,0.48323782482771815,31.0107,30.392295,0.48307150366061963
2004-06-22,30.7936,31.2364,30.6701,31.2279,78,955,30.416592499999997,0.48917083734002387,30.785,30.404441000000002,0.48323782482771815
2004-06-23,31.1427,31.6707,31.0916,31.5855,78,955,30.430702,0.4955943489585936,31.2279,30.416592499999997,0.48917083734002387
2004-06-24,31.5259,31.807,31.4408,31.5293,78,955,30.442994,0.48635189546155116,31.5855,30.430702,0.4955943489585936
2004-06-25,31.5089,31.841,31.4919,31.7133,78,955,30.457440499999997,0.47654818864286896,31.5293,30.442994,0.48635189546155116
2004-06-28,31.9262,31.9517,31.4237,31.6026,78,955,30.468784,0.4802233180255211,31.7133,30.457440499999997,0.47654818864286896
2004-06-29,31.5941,31.91,31.577,31.8836,78,955,30.4832735,0.4697073667379838,31.6026,30.468784,0.4802233180255211
2004-06-30,31.8921,32.2753,31.807,32.1391,78,955,30.502955999999998,0.46960684054241375,31.8836,30.4832735,0.4697073667379838
2004-07-01,32.071,32.071,31.313,31.543,78,955,30.517827999999998,0.4950706376465271,32.1391,30.502955999999998,0.46960684054241375
2004-07-02,31.543,31.5515,31.1938,31.3216,78,955,30.530827,0.4852584492432038,31.543,30.517827999999998,0.4950706376465271
2004-07-06,31.1597,31.1683,30.5125,30.6488,78,955,30.541563999999997,0.508389988582975,31.3216,30.530827,0.4852584492432038
2004-07-07,30.6232,30.9043,30.5892,30.7254,78,955,30.548985500000004,0.4945835608270481,30.6488,30.541563999999997,0.508389988582975
