scenario,sample,entry_model,risk_rule,target_r,dimension,group,trades,sum_net_R,mean_net_R,pos_R,neg_R,pf_net,positive_years,active_years,arch_mean_net_R,arch_pf_net,arch_trades,arch_positive_years,arch_active_years
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.5,contact_session,TRANSITION,1,-1.2479338842975598,-1.2479338842975598,0.0,1.2479338842975598,0.0,0,1,-0.34673493177638864,0.5576097570860981,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.5,direction,LONG,99,-38.26059102667954,-0.3864706164311065,40.60645729243003,78.86704831910956,0.5148722838989658,3,15,-0.34673493177638864,0.5576097570860981,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.5,direction,SHORT,109,-33.8602747828093,-0.310644722778067,50.298120982129305,84.1583957649386,0.597660168364142,5,15,-0.34673493177638864,0.5576097570860981,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.5,entry_session,ASIA_CME,40,-20.41402004829554,-0.5103505012073886,13.748401545196995,34.16242159349254,0.40244224220381003,3,13,-0.34673493177638864,0.5576097570860981,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.5,entry_session,LONDON,35,-4.86694231656903,-0.13905549475911516,19.340986878522926,24.207929195091964,0.7989525548696753,7,14,-0.34673493177638864,0.5576097570860981,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.5,entry_session,NY_AM,104,-44.82311756365961,-0.4309915150351885,40.97893098775332,85.80204855141292,0.47759851518228713,2,15,-0.34673493177638864,0.5576097570860981,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.5,entry_session,NY_PM,28,-0.768851996667093,-0.02745899988096761,16.836258863086094,17.605110859753182,0.9563279093899516,7,12,-0.34673493177638864,0.5576097570860981,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.5,entry_session,TRANSITION,1,-1.2479338842975598,-1.2479338842975598,0.0,1.2479338842975598,0.0,0,1,-0.34673493177638864,0.5576097570860981,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.5,relevant_age_bucket,1-3d,29,-9.193737866655098,-0.31702544367776203,12.551316600491576,21.745054467146677,0.5772032725627164,5,13,-0.34673493177638864,0.5576097570860981,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.5,relevant_age_bucket,1-4h,59,-9.57445714479569,-0.16227893465755408,31.50650066699016,41.080957811785844,0.7669368570065609,7,15,-0.34673493177638864,0.5576097570860981,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.5,relevant_age_bucket,12-24h,27,-15.162614417032467,-0.5615783117419432,9.976172996776102,25.138787413808565,0.39684384264677214,4,14,-0.34673493177638864,0.5576097570860981,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.5,relevant_age_bucket,3-7d,9,-7.509594927070438,-0.8343994363411598,1.3997493734333657,8.909344300503804,0.1571102570762938,1,5,-0.34673493177638864,0.5576097570860981,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.5,relevant_age_bucket,4-12h,33,-7.056415064051117,-0.2138307595167005,17.053211643749876,24.109626707800995,0.7073196051696677,5,15,-0.34673493177638864,0.5576097570860981,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.5,relevant_age_bucket,7-30d,11,-9.414505207106233,-0.8558641097369303,1.400513577771778,10.81501878487801,0.1294971008030085,1,9,-0.34673493177638864,0.5576097570860981,208,1,15
