datetime,open,high,low,close,volume
2026-08-10 09:47:00,29790.0,29808.75,29782.75,29807.75,1264
2026-08-10 09:48:00,29809.75,29811.75,29799.0,29810.5,1291
2026-08-10 09:49:00,29810.25,29828.0,29805.75,29817.75,1738
2026-08-10 09:50:00,29817.25,29832.75,29794.75,29804.5,2969
2026-08-10 09:51:00,29804.75,29816.0,29792.75,29806.0,1278
2026-08-10 09:52:00,29802.75,29808.0,29766.0,29790.25,2075
2026-08-10 09:53:00,29790.75,29791.75,29754.5,29775.75,1858
2026-08-10 09:54:00,29775.0,29791.5,29768.5,29776.5,1321
2026-08-10 09:55:00,29775.5,29799.0,29760.0,29762.5,1568
2026-08-10 09:56:00,29760.0,29782.0,29756.25,29780.75,1239
2026-08-10 09:57:00,29782.25,29798.5,29770.0,29789.0,1337
2026-08-10 09:58:00,29789.25,29809.75,29788.0,29795.25,1284
2026-08-10 09:59:00,29795.25,29819.0,29785.75,29807.0,1115
2026-08-10 10:00:00,29806.75,29819.25,29788.5,29805.0,1952
2026-08-10 10:01:00,29804.75,29826.75,29788.25,29823.5,1328
2026-08-10 10:02:00,29824.75,29831.5,29810.75,29813.5,1242
2026-08-10 10:03:00,29815.0,29822.0,29804.25,29806.75,814
2026-08-10 10:04:00,29806.75,29824.75,29796.25,29819.0,1335
2026-08-10 10:05:00,29818.5,29836.75,29817.0,29828.0,1120
2026-08-10 10:06:00,29828.25,29861.25,29827.5,29858.0,1853
2026-08-10 10:07:00,29858.75,29862.5,29853.25,29856.5,1090
2026-08-10 10:08:00,29856.25,29863.5,29848.25,29850.0,1063
2026-08-10 10:09:00,29848.25,29875.75,29840.25,29874.25,2224
2026-08-10 10:10:00,29874.75,29886.25,29870.0,29885.25,1680
2026-08-10 10:11:00,29885.25,29891.5,29872.5,29880.0,1214
2026-08-10 10:12:00,29880.5,29889.75,29877.5,29885.25,697
2026-08-10 10:13:00,29883.75,29892.0,29877.25,29883.0,850
2026-08-10 10:14:00,29883.75,29884.5,29874.75,29881.5,752
2026-08-10 10:15:00,29882.0,29900.0,29874.25,29880.75,2034
2026-08-10 10:16:00,29880.5,29887.5,29867.0,29884.25,1074
2026-08-10 10:17:00,29885.5,29886.0,29870.5,29873.75,619
2026-08-10 10:18:00,29873.75,29876.75,29857.25,29862.5,1234
2026-08-10 10:19:00,29862.75,29871.5,29855.25,29862.25,1043
2026-08-10 10:20:00,29863.0,29884.5,29859.5,29881.25,1081
2026-08-10 10:21:00,29881.5,29881.75,29860.0,29863.75,967
2026-08-10 10:22:00,29863.75,29872.75,29851.0,29859.75,1091
2026-08-10 10:23:00,29859.5,29862.75,29842.5,29848.75,994
