direction,entry_time,exit_time,entry_price,exit_price,contracts,stop_points,pnl_per_contract,pnl,fees,exit_reason,days_in_trade,account_value,risk_dollars,risk_pct,account_value_entry,scenario
short,2026-03-26 11:15:00,2026-03-26 14:05:00,24030.25,23830.25,4,100.0,3980.0,15920.0,20.0,target,1,918850.0,8000.0,0.8860044521723722,902930.0,PRIMARY
short,2026-03-26 14:10:00,2026-03-26 14:30:00,23836.75,23821.75,4,100.0,280.0,1120.0,20.0,eod_short,1,919970.0,8000.0,0.8706535343091909,918850.0,PRIMARY
short,2026-03-27 12:15:00,2026-03-27 14:30:00,23440.0,23347.5,4,100.0,1830.0,7320.0,20.0,eod_short,1,927290.0,8000.0,0.8695935737034903,919970.0,PRIMARY
short,2026-03-30 12:00:00,2026-03-30 14:10:00,23262.25,23062.25,4,100.0,3980.0,15920.0,20.0,target,1,943210.0,8000.0,0.8627290275965448,927290.0,PRIMARY
short,2026-03-30 14:15:00,2026-03-30 14:30:00,23045.75,23029.5,4,100.0,305.0,1220.0,20.0,eod_short,1,944430.0,8000.0,0.8481674282503366,943210.0,PRIMARY
long,2026-03-31 11:35:00,2026-03-31 11:40:00,23587.75,23787.75,4,100.0,3980.0,15920.0,20.0,target,1,960350.0,8000.0,0.8470717787448514,944430.0,PRIMARY
long,2026-03-31 11:45:00,2026-03-31 18:25:00,23779.5,23979.5,4,100.0,3980.0,15920.0,20.0,target,2,976270.0,8000.0,0.8330296246160255,960350.0,PRIMARY
long,2026-04-01 10:00:00,2026-04-01 13:20:00,24270.0,24170.0,4,100.0,-2020.0,-8080.0,20.0,stop,1,968190.0,8000.0,0.8194454402982781,976270.0,PRIMARY
short,2026-04-06 12:10:00,2026-04-06 13:20:00,24245.75,24345.75,4,100.0,-2020.0,-8080.0,20.0,stop,1,960110.0,8000.0,0.8262840971296956,968190.0,PRIMARY
short,2026-04-07 10:00:00,2026-04-07 10:55:00,23994.0,24094.0,4,100.0,-2020.0,-8080.0,20.0,stop,1,952030.0,8000.0,0.8332378581620855,960110.0,PRIMARY
long,2026-01-20 10:00:00,2026-01-20 11:45:00,25367.75,25267.75,5,100.0,-2045.0,-10225.0,25.0,stop,1,989775.0,10000.0,1.0,1000000.0,STRESS
short,2026-01-20 11:50:00,2026-01-20 14:30:00,25268.5,25131.75,4,100.0,2690.0,10760.0,20.0,eod_short,1,1000535.0,8000.0,0.8082645045591169,989775.0,STRESS
long,2026-01-21 10:10:00,2026-01-21 10:35:00,25488.0,25388.0,5,100.0,-2045.0,-10225.0,25.0,stop,1,990310.0,10000.0,0.9994652860719514,1000535.0,STRESS
long,2026-01-21 13:35:00,2026-01-22 02:50:00,25488.0,25688.0,4,100.0,3955.0,15820.0,20.0,target,2,1006130.0,8000.0,0.8078278518847632,990310.0,STRESS
long,2026-01-23 10:00:00,2026-01-23 11:40:00,25827.5,25727.5,5,100.0,-2045.0,-10225.0,25.0,stop,1,995905.0,10000.0,0.9939073479570234,1006130.0,STRESS
long,2026-01-26 10:25:00,2026-01-27 09:45:00,25898.5,26098.5,4,100.0,3955.0,15820.0,20.0,target,2,1011725.0,8000.0,0.803289470381211,995905.0,STRESS
long,2026-01-27 10:10:00,2026-01-28 00:00:00,26098.5,26298.5,5,100.0,3955.0,19775.0,25.0,target,2,1031500.0,10000.0,0.9884108824038152,1011725.0,STRESS
short,2026-01-28 10:20:00,2026-01-28 14:30:00,26159.5,26153.0,5,100.0,85.0,425.0,25.0,eod_short,1,1031925.0,10000.0,0.9694619486185166,1031500.0,STRESS
short,2026-01-30 10:20:00,2026-01-30 12:20:00,25770.75,25570.75,5,100.0,3955.0,19775.0,25.0,target,1,1051700.0,10000.0,0.9690626741284493,1031925.0,STRESS
short,2026-01-30 12:25:00,2026-01-30 12:50:00,25619.0,25719.0,5,100.0,-2045.0,-10225.0,25.0,stop,1,1041475.0,10000.0,0.9508414947228297,1051700.0,STRESS
long,2026-02-02 11:00:00,2026-02-03 08:35:00,25912.25,25812.25,5,100.0,-2045.0,-10225.0,25.0,stop,2,1031250.0,10000.0,0.9601766725077414,1041475.0,STRESS
short,2026-02-03 10:50:00,2026-02-03 12:50:00,25470.25,25270.25,5,100.0,3955.0,19775.0,25.0,target,1,1051025.0,10000.0,0.9696969696969697,1031250.0,STRESS
short,2026-02-03 12:55:00,2026-02-03 14:30:00,25268.0,25368.0,5,100.0,-2045.0,-10225.0,25.0,stop,1,1040800.0,10000.0,0.9514521538498133,1051025.0,STRESS
short,2026-02-04 10:00:00,2026-02-04 11:25:00,25108.0,24908.0,5,100.0,3955.0,19775.0,25.0,target,1,1060575.0,10000.0,0.9607993850883935,1040800.0,STRESS
