sample,entry_model,risk_rule,vol_floor_k,target_r,years,total_trades_primary,weighted_avg_gross_R_primary,weighted_avg_net_R_primary,annual_median_net_R_primary,positive_years_primary,median_annual_pf_primary,min_annual_net_R_primary,max_annual_net_R_primary,weighted_avg_net_R_spread010,weighted_avg_net_R_spread012,weighted_avg_net_R_stress,positive_years_stress,median_annual_pf_stress,gate_1,gate_2,gate_3,gate_4,gate_5,gate_6,gate_7,gate_8,survives_vantage_gate
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.75,0.75,2.5,15,17430,0.04088490569223798,0.015948837088199636,0.014352916780122,12,1.0307707639887247,-0.1180047259458163,0.1088072925840935,0.02065991472455039,0.011211113099630481,-0.021025362437607893,4,0.976480230372432,True,True,True,True,True,True,False,False,False
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.75,0.75,0.5,15,755,0.04565910033337362,0.01283884586639914,0.0036037749710127,8,1.0120181395388457,-0.151216839909176,0.2204290989927534,0.014880448137317382,0.005492475313581275,-0.023759096928742396,7,0.9513077547372198,True,True,True,False,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,15,13892,0.035825413078850205,0.011105698756069584,0.0173493284097629,10,1.0628112372084897,-0.0783737250896228,0.0585846170756165,0.014671810392959202,0.007332725001073726,-0.026061224208429275,3,0.9560307715055804,True,True,True,True,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.25,0.25,0.5,15,17430,0.04510714644298167,0.009529163531580094,0.0107087069351116,10,1.0384194024943232,-0.055977259160222,0.0829813351839123,0.014204288008115754,0.005003158033762965,-0.03743873736064606,4,0.9202284522307612,True,True,True,True,True,True,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.25,0.25,2.5,15,28957,0.04262655708658876,0.006581468653306105,-0.0048826628237877,7,0.9905967560546663,-0.1000646578854279,0.0994511766734903,0.01108781633858113,0.00028587343913025643,-0.04781686397920072,4,0.9087988571130582,True,True,False,False,False,True,False,False,False
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_1.00,1.0,0.5,15,755,0.03280095193843981,0.006235359247006063,0.012198365576792,9,1.0397375875350352,-0.2064807250293009,0.2077060153523624,0.00924610445035146,0.0067478870589975145,-0.0207529518917788,7,0.9162819692246816,True,True,True,False,True,True,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.25,0.25,3.0,15,28957,0.041636229361618884,0.005591140928336229,0.0075059369377396,8,1.0142631966014135,-0.1069003974402749,0.1135128768135259,0.011843387057801871,-0.0011922724988560267,-0.0494229175990272,4,0.9174078958937748,True,True,True,False,True,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.25,0.25,2.0,15,28957,0.04065730994134655,0.0046122215080638945,0.0035200484646374,8,1.0064018246488682,-0.099893579706629,0.082874304281354,0.010189969358826144,-0.001036896101847969,-0.04866374427513684,5,0.9041690933136776,True,True,True,False,True,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.50,0.5,2.0,15,28957,0.036755413733740014,0.0037136431214909583,0.0025280676447921,8,1.0050831787498689,-0.1024160933207317,0.0724704883509616,0.00795449381175987,-0.0016308935377564704,-0.04690324108858916,4,0.908748576793485,True,True,True,False,True,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.50,0.5,1.5,15,28957,0.0356173609337305,0.0025755903214814773,0.0070672557521292,8,1.0128930182552276,-0.1039618139632087,0.0919391097856567,0.0067275561440514635,-0.002698729923404998,-0.046343972782193744,3,0.9211844174484044,True,True,True,False,True,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,CLEAN_REJECTION,STRUCTURAL,,3.0,15,21752,0.030474503055378018,0.0017395368073220478,0.0063553787329036,9,1.0119248607015483,-0.1091901645068628,0.1129055079593726,0.0067914082604959135,-0.002788910051776615,-0.04147751034218299,3,0.9341371168867436,True,True,True,False,True,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.25,0.25,1.5,15,28957,0.037483644214617015,0.0014385557813343251,0.0017800393720946,8,1.0032070913380104,-0.0994705664057432,0.1012486807344589,0.007356744157201702,-0.005371984915147408,-0.051347481540790926,3,0.9012444793468396,True,True,True,False,True,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,CLEAN_REJECTION,STRUCTURAL,,2.5,15,21752,0.028534503850257832,-0.00020046239779812392,0.0018073291770897,9,1.0034012368285274,-0.1049919643108372,0.1169826045318472,0.005130111482352964,-0.00543899564024782,-0.043357826743532224,4,0.9246116287562636,True,False,True,False,True,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.75,0.75,0.5,15,28957,0.02893457041554767,-0.0008188657542063889,0.0006359527829217,8,1.0020741843933818,-0.099639337239184,0.0850280225811987,0.003452975958462055,-0.004982833075950023,-0.045036794129198275,3,0.8654836072766955,True,False,True,False,True,False,False,False,False
OBJECTIVE_LIQUIDITY_ONLY,CLEAN_REJECTION,STRUCTURAL,,2.0,15,21752,0.027882505470406885,-0.00085246077764907,0.0028302474915196,10,1.0059566996809737,-0.0999621467212205,0.0864917264505918,0.004265157337227393,-0.004764228800135228,-0.043349094548916174,3,0.9315745156809646,True,False,True,True,True,False,False,False,False
