scenario,entry_time,exit_time,side,entry_px,exit_px,gross_usd,costs_usd,net_usd,gross_points,net_points,exit_reason
STRESS,2026-06-03 10:00:00-04:00,2026-06-03 10:30:00-04:00,short,30610.0,30715.75,-2115.0,5.0,-2120.0,-105.75,-106.0,trail
STRESS,2026-06-05 10:00:00-04:00,2026-06-05 15:59:00-04:00,short,29783.5,29016.25,15345.0,5.0,15340.0,767.25,767.0,eod
STRESS,2026-06-08 11:00:00-04:00,2026-06-08 11:30:00-04:00,long,29675.5,29586.25,-1785.0,5.0,-1790.0,-89.25,-89.5,trail
STRESS,2026-06-09 11:00:00-04:00,2026-06-09 15:00:00-04:00,short,29233.0,29043.0,3800.0,5.0,3795.0,190.0,189.75,trail
STRESS,2026-06-09 15:30:00-04:00,2026-06-09 15:59:00-04:00,short,28961.25,29115.75,-3090.0,5.0,-3095.0,-154.5,-154.75,eod
STRESS,2026-06-10 15:00:00-04:00,2026-06-10 15:59:00-04:00,short,28582.25,28526.5,1115.0,5.0,1110.0,55.75,55.5,eod
STRESS,2026-06-11 10:00:00-04:00,2026-06-11 10:30:00-04:00,long,28964.5,28831.75,-2655.0,5.0,-2660.0,-132.75,-133.0,trail
STRESS,2026-06-11 13:30:00-04:00,2026-06-11 15:59:00-04:00,long,29183.75,29456.25,5450.0,5.0,5445.0,272.5,272.25,eod
STRESS,2026-06-12 11:00:00-04:00,2026-06-12 12:00:00-04:00,long,29663.75,29470.0,-3875.0,5.0,-3880.0,-193.75,-194.0,trail
STRESS,2026-06-15 11:30:00-04:00,2026-06-15 13:00:00-04:00,long,30549.25,30568.75,390.0,5.0,385.0,19.5,19.25,trail
STRESS,2026-06-16 10:30:00-04:00,2026-06-16 15:59:00-04:00,short,30337.5,29991.75,6915.0,5.0,6910.0,345.75,345.5,eod
STRESS,2026-06-24 11:00:00-04:00,2026-06-24 11:30:00-04:00,long,29884.75,29817.5,-1345.0,5.0,-1350.0,-67.25,-67.5,trail
STRESS,2026-06-25 10:00:00-04:00,2026-06-25 10:30:00-04:00,short,29378.5,29601.75,-4465.0,5.0,-4470.0,-223.25,-223.5,trail
