year,sample,entry_model,target_r,trades,tp_pct,sl_pct,time_pct,ambiguous_same_bar_pct,avg_gross_R,pf_gross,avg_net_R_legacy22,pf_net_legacy22,avg_net_R_cost1_5x,pf_net_cost1_5x,median_risk_price,median_entry_delay_minutes,median_legacy_commission_R,sum_gross_R,sum_net_R_legacy22,sum_net_R_cost1_5x
2019,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,3.0,38,5.263157894736842,76.31578947368422,18.421052631578945,10.526315789473683,-0.5952312945055367,0.2357761329370249,-0.7117440299789246,0.1912665868850155,-0.7700003977156187,0.173890321085024,1.8420000000000984,9.5,0.1194494783296581,-22.618789191210396,-27.046273139199133,-29.26001511319351
2020,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,3.0,46,19.565217391304348,63.04347826086957,17.391304347826086,17.391304347826086,0.1071749464488727,1.1694196444539744,0.02583010766853,1.0374278972398792,-0.0148423117216413,0.9793552092623512,2.7670000000000528,8.0,0.0795139868543407,4.930047536648146,1.1881849527523836,-0.6827463391955013
2021,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,3.0,27,18.51851851851852,74.07407407407408,7.4074074074074066,11.11111111111111,-0.1618033174143024,0.7879284909801331,-0.2633774705375114,0.6875374584486846,-0.3141645470991158,0.6441596008305879,2.161999999999807,6.0,0.1017576318223957,-4.368689570186166,-7.111191704512809,-8.482442771676128
2022,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,3.0,40,15.0,75.0,10.0,17.5,-0.2363800858098478,0.697263878250793,-0.3294712279705065,0.6142704136334618,-0.3760167990508358,0.5778981298899639,2.289922994567405,8.0,0.0960737762452234,-9.455203432393915,-13.178849118820262,-15.040671962033432
2023,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,3.0,32,18.75,78.125,3.125,18.75,-0.2145081018518505,0.7254296296296313,-0.3176378619422835,0.6314675346997316,-0.3692027419875,0.5907858998274357,2.0279999999995653,6.5,0.108482950456169,-6.864259259259217,-10.164411582153074,-11.8144877436
2024,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,3.0,58,15.517241379310343,79.3103448275862,5.172413793103448,13.79310344827586,-0.2958866394380041,0.6280611717305038,-0.3898900914675297,0.5521279148639099,-0.4368918174822925,0.5188659376135296,2.330000000000382,8.0,0.09442234011198,-17.16142508740424,-22.613625305116724,-25.339725413972964
2025,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,3.0,66,18.181818181818183,75.75757575757575,6.0606060606060606,4.545454545454546,-0.1984479757050587,0.7428629953369047,-0.255537587959998,0.6870480731884946,-0.2840823940874676,0.6614584840377717,3.6030000000000655,10.0,0.0610641835675657,-13.097566396533876,-16.865480805359866,-18.749438009772863
2011,OBJECTIVE_LIQUIDITY_ONLY,CLEAN_REJECTION,0.5,1397,54.76020042949177,29.63493199713672,15.60486757337151,0.0,-0.0449065527669757,0.8632823000244076,-0.1138986703356198,0.6803408298371318,-0.1483947291199418,0.5996054235918172,3.1770000000001346,1.0,0.0692477179729275,-62.73445421546509,-159.11644245886086,-207.30743658055877
2012,OBJECTIVE_LIQUIDITY_ONLY,CLEAN_REJECTION,0.5,1337,52.281226626776366,30.96484667165296,16.75392670157068,0.0,-0.0722676831052287,0.7902260310723723,-0.1513423321980797,0.5987420403031571,-0.1908796567445051,0.5154098872416383,2.7504999999998745,1.0,0.0799854571896055,-96.6218923116908,-202.34469814883252,-255.20610106740335
2013,OBJECTIVE_LIQUIDITY_ONLY,CLEAN_REJECTION,0.5,1324,52.26586102719033,30.81570996978852,16.91842900302115,0.0755287009063444,-0.0818880617301438,0.7672197133411266,-0.1586554642713857,0.5871271309902139,-0.1970391655420067,0.5084415296391415,2.832250000000045,1.0,0.0776767593659139,-108.4197937307104,-210.05983469531475,-260.87985517761695
